Associated Gene Name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
Gm26886,14,3822531,3884087
Slc22a21,11,53949965,53980332
Tmsb15a,X,135718667,135725261
1700020N01Rik,10,21593145,21622376
Ltk,2,119751320,119760431
Ccdc89,7,90426577,90428669
Gm3002,14,3810074,3966518
Cxcr1,1,74191785,74194631
Slx1b,7,126689468,126695784
Mettl11b,1,163702256,163725232
Naif1,2,32450457,32456953
Gm43943,6,131613688,131613800
Slamf8,1,172581758,172590568
Tmem165,5,76183880,76209245
RP23-363G20.1,9,46486104,46505073
Bola2,7,126695401,126699798
RP24-421D3.1,9,69599307,69599754
Tas2r130,6,131629823,131630912
Elmod2,8,83312632,83332486
RP23-363G20.2,9,46532757,46543376
Gm6939,7,126687459,126690034
Gm7726,7,74699856,74700086
Fcrl6,1,172596642,172602551
Apc-ps1,5,76196625,76197094
B230323A14Rik,9,69758740,69830845
Tas2r107,6,131659118,131660149
Gm30459,7,74765987,74771243
Coro1a,7,126699773,126707787
Dnmt1,9,20907209,20959888
RP24-396L14.3,9,69792604,69793151
RP23-158J3.2,9,46607255,46612726
Foxb1,9,69757710,69760940
Kbtbd2,6,56777524,56797813
Gm13517,2,55775548,55777042
Pik3cd,4,149649168,149702571
Gm10209,6,56797591,56799197
Gm2343,1,163729569,163730610
Gm9575,16,50665008,50666346
Gm42556,5,150283995,150299441
RP23-415J15.3,10,19716152,19718704
Gm13615,2,55970695,55972994
Gm18753,5,150446782,150447347
Gm36378,5,150243863,150244250
Gm43330,3,105782875,105785027
Il20ra,10,19712570,19760053
Gm43329,3,105766966,105770197
Gm13518,2,56039853,56040085
Gm43331,3,105787633,105789321
Gm43328,3,105732444,105733877
Prss57,10,79781474,79790961
Rap1a,3,105727267,105801336
Zfp616,11,74069955,74087292
Fkbp9,6,56832059,56879358
Gm12331,11,74077519,74078140
Fstl3,10,79777272,79782630
Gm42867,5,34575088,34575556
Uaca,9,60794542,60880370
Gm4996,X,146932685,146934254
Crebzf,7,90442729,90447994
Olfr727,14,50123186,50128746
Gm27187,9,35960687,36011558
Gm45057,14,50123231,50125043
Gm11684,11,109768486,109770599
RP23-410B24.4,8,105503406,105503946
CAAA01194877.2,9,13308214,13312446
Dusp23,1,172630764,172632962
Maml2,9,13297957,13709388
Trac,14,54220521,54224206
Mef2a,7,67231163,67372858
Anxa10,8,62057042,62123150
Gm2710,1,172669034,172669636
Gm13527,2,57079748,57080438
Phxr4,9,13431361,13432751
Shisa5,9,109038565,109057777
Spns3,11,72494919,72550506
CH25-309J2.1,9,13519936,13520101
Gm37107,2,4178110,4180661
1700012B07Rik,11,109787651,109828046
Gm37814,2,4138984,4142627
Slc27a3,3,90385239,90389938
Frmd4a,2,4017717,4614043
4930520M14Rik,5,139215469,139216356
Ggnbp2,11,84832361,84870817
1700017N19Rik,10,100590511,100618401
Gm11683,11,109797183,109802796
Gm28731,9,69988400,69989968
Vmn2r-ps73,7,85696356,85698580
Crp,1,172698055,172833031
Bnip2,9,69989466,70008317
RP23-319C8.5,9,36089920,36092359
Mettl21b,10,127031004,127041513
Gm44157,6,115608170,115608579
D830050J10Rik,6,115675968,115677780
Gm38051,1,172781445,172781877
Kctd18,1,57955101,58018956
Gm14335,6,115638250,115639059
Mettl1,10,127041414,127046365
Mkrn2,6,115601902,115622624
Hsd11b2,8,105518755,105523988
Lysmd4,7,67222544,67307330
Dubr,16,50719294,50732773
Rps27l,9,66946086,66949516
Gm9869,9,60821552,60838200
Gm44903,7,74851269,74851398
0610006L08Rik,7,74818818,74853813
Raf1,6,115618067,115676635
Rab28,5,41624976,41708157
Creld1,6,113483297,113493343
Slc22a4,11,53983123,54028090
Gm44667,7,67268906,67272242
Gm44668,7,67367716,67370980
Sgol2a,1,57995971,58025899
Vmn2r-ps74,7,85712291,85713207
Vmn2r72,7,85737784,85754981
Gm5916,9,36119934,36128779
Gm38163,9,108584756,108585361
Gm18779,7,85785019,85785595
P4htm,9,108578862,108597667
Gm18354,7,85788197,85789648
Gm29725,7,16647383,16647789
Snx11,11,96767555,96777559
1700116B05Rik,16,50783409,50784091
Vmn2r-ps75,7,85798320,85798936
Vmn2r-ps76,7,85815447,85816185
Vmn2r-ps77,7,85821939,85822258
Dad1,14,54235479,54254104
Gm38299,2,32998527,33002315
Vmn2r73,7,85857547,85875938
Clic1,17,35049966,35058749
Garnl3,2,32986224,33131654
Tmem120a,5,135735485,135744448
Gm11537,11,96766802,96768269
Nkx3-2,5,41761483,41764501
Gm43156,5,147745516,147749176
Gm5420,10,21686411,21707440
Kifap3,1,163779583,163917109
Gm43155,5,147822245,147822738
Gm29323,10,21743867,21747006
Tmem125,4,118540941,118544044
Xntrpc,7,102065713,102096864
Htr2c,X,146962513,147197277
4930503B20Rik,3,146645193,146651317
Gm6767,16,51362452,51363832
Adgrl3,5,81020138,81825133
Gm35648,5,147868074,147868548
Gm2961,8,62193441,62194212
Pomp,5,147860461,147876456
Hspd1-ps2,8,62486792,62488488
Samd13,3,146645195,146685592
Gm14901,X,101059010,101059292
Skida1,2,18040676,18049051
Tex11,X,100838648,101059667
Gm16325,3,146641932,146651715
Wrap73,4,154142372,154167420
Gm15183,1,75542211,75542558
Polr2l,7,141471860,141475132
Vmn2r-ps78,7,85884457,85884764
Gm3434,9,36134246,36135630
Olfr728,14,50133758,50142680
Pax8,2,24420560,24475599
Nt5c3,6,56882400,56923932
Vmn2r74,7,85951867,85961482
Vmn2r-ps79,7,85967016,85967392
Vmn2r-ps80,7,85997983,85999586
Vmn2r-ps81,7,86026716,86027553
Atp6v0d1,8,105524465,105566047
Vmn2r-ps82,7,86053700,86063461
Sec31a,5,100361649,100416234
Tprgl,4,154157485,154160666
Vmn2r-ps83,7,86073150,86083782
Vmn2r-ps84,7,86126333,86127229
Gm5,5,150499747,150502304
Vmn2r75,7,86148042,86171724
Rapgef1,2,29619720,29740978
Zar1l,5,150507055,150518164
Gm42701,3,104144199,104145855
Gm27004,5,112582645,112583371
Gm42696,3,104057000,104058141
1700034G24Rik,5,112582936,112589996
Gm43258,3,104149756,104151705
RP23-69D2.2,9,36249948,36263066
Gm43256,3,104187103,104190193
Gm42700,3,104095444,104097880
Gm3867,9,36255931,36258323
Gm42699,3,104114039,104115695
Gm15933,5,150509694,150511338
Xndc1,7,102065511,102083765
C030032O16Rik,3,104155533,104156248
Nr4a2,2,57106830,57124003
Styxl1,5,135747220,135778385
Gm12712,11,72572530,72573330
Gm3793,6,56905911,56906582
Phtf1,3,103968110,104024598
Gm2975,8,62539650,62540469
Lactb,9,66955388,66975484
Tspan4,7,141475240,141493427
Prrt3,6,113493639,113501931
Gm27193,2,24483495,24484080
Gm13415,2,24440418,24486855
Trpc2,7,102083116,102096396
Gm44902,7,74886264,74887068
Vmn2r-ps85,7,86181204,86182143
Gm36988,2,4316479,4318886
Gm13188,2,4081855,4082418
Gm2639,2,4051263,4052559
Vmn2r-ps86,7,86185726,86186596
Gm13187,2,4287595,4301167
Atrip,9,109059747,109074124
Gm13321,2,12421627,12422026
Gm13189,2,4137774,4144102
Gm37565,2,12697417,12706853
Vmn2r76,7,86225206,86246201
Gm13175,2,4458434,4466670
Gm10862,2,4091140,4094489
Ccdc109b,3,129914960,129970206
1700080N15Rik,2,4132063,4141141
C430014B12Rik,1,82691928,82725169
Gm38219,10,100795161,100795924
Gm38085,2,4103877,4106938
Gm13179,2,4586024,4587287
Olfr310,7,86268730,86269811
Gm38348,2,4217081,4219353
Mff,1,82724890,82752394
4933415J04Rik,5,112640335,112641635
1700023C21Rik,11,109845878,109848476
Gm15019,X,135726998,135729474
Eif1ax,X,159372178,159389928
9430083B18Rik,1,172873551,172874413
Ube2g1,11,72607283,72686481
Gm20480,7,86298644,86298893
Chid1,7,141493136,141539857
Gm42641,9,109057933,109074120
Gm9480,3,146696219,146696834
Gm44904,7,75030194,75075164
Gm42864,5,112649367,112652112
Tmf1,6,97152997,97179122
Trex1,9,109057933,109059734
Selenon,4,134537892,134552166
Olfr309,7,86304474,86313708
RP23-69D2.3,9,36376974,36380808
RP23-265F16.6,9,36381685,36381899
Gm42865,5,112675375,112680587
Tmem126a,7,90450700,90457229
Olfr308,7,86318218,86325630
Ect2,3,27097222,27153878
Spint2,7,29256323,29281912
Olfr307,7,86332176,86337586
Cfap57,4,118554551,118620777
Gm44907,7,90457252,90458884
Apcs,1,172893961,172895041
Olfr306-ps1,7,86352977,86353719
Abhd4,14,54254188,54270637
Dgkz,2,91932824,91975864
Gm13508,2,49327377,49328151
Olfr16,1,172950409,172958357
Tmem126b,7,90467438,90476001
Gm45416,7,141516403,141518603
Olfr305,7,86360854,86366928
Gm42531,5,150562311,150566358
BB557941,2,57127479,57181754
Gm42529,5,150560209,150566426
Gm28941,1,82739691,82740707
Brca2,5,150522630,150570329
Col4a3,1,82586921,82722059
Slc46a3,5,147878437,147894815
Cbx1,11,96789127,96808640
Pef1,4,130102558,130128135
Gm11517,11,96795439,96795825
4930555B11Rik,2,57181831,57188257
Gm15721,5,147949882,147957166
Gm13526,2,57214054,57214242
RP24-199D4.1,8,115585392,115595152
Mapk10,5,102907948,103211334
1700095B10Rik,5,112793292,112801701
Gm15187,X,159410247,159410510
Olfr400-ps1,11,74104841,74110791
Myo18b,5,112688876,112896362
Maf,8,115682942,115707794
Gprasp1,X,135742733,135803474
Gm15655,8,115705078,115707233
RP23-265B15.1,8,115971635,115972071
Gcc2,10,58255497,58305599
1700063D05Rik,9,41192446,41217990
Gm43690,5,150570833,150571098
Gprasp2,X,135839034,135844730
Gm13535,2,57272564,57275686
Arih2,9,108602942,108649386
Gpd2,2,57237635,57370719
RP24-421B13.1,8,116181451,116187369
Gm43598,5,150597062,150599540
Olfr304,7,86385657,86386658
N4bp2l1,5,150571644,150597188
Fam65a,8,105605255,105622219
Gm12976,4,129261965,129265010
Olfr303,7,86391810,86397789
Bod1l,5,41787538,41844315
Gm38384,8,105633750,105634871
Ctcf,8,105636568,105682922
Gm13349,2,18338579,18338989
Gm13350,2,18249365,18249843
A930012O16Rik,2,57236227,57238508
Tma7,9,109074568,109082587
Dnajc1,2,18195654,18392830
Gm37953,9,101150312,101152195
Phtf1os,3,103964536,103968581
Ppp2r3a,9,101105084,101251795
Dlg2,7,90476672,90522791
Gm43260,3,104180612,104183041
Gm5914,8,105624336,105637485
Ccdc51,9,109082493,109092489
Gm45162,7,90811544,90812161
Magi3,3,104013259,104220374
Rbbp4,4,129307100,129335370
RP23-410B24.5,8,105585321,105586200
A930002H02Rik,7,90871603,90872780
Gm38250,8,105566324,105578109
Gm17134,10,79863937,79864434
Agrp,8,105566698,105637393
Prtn3,10,79874476,79883174
Gm43597,5,150599932,150607003
Bhlhb9,X,135797594,135891081
Hcrtr1,4,130130217,130139359
RP24-68M15.1,8,116357061,116359550
RP24-331K7.1,8,116489186,116491109
Gm5915,8,105660334,105660787
Snrp1c-ps1,7,126723936,126724409
4930448A20Rik,7,126740629,126742181
Mrpl23,7,142532686,142540747
Gm44824,7,126742682,126742910
Mllt10,2,18055237,18212388
Sync,4,129287617,129308559
Ptbp1,10,79854427,79864771
Gm44855,7,126749555,126749916
Gm7257,9,36431884,36434938
Gm37621,9,101116701,101122231
Gm37962,9,101113805,101115838
Gm37314,9,101188598,101191282
Gm45161,7,90885444,90887706
Gm38344,9,101186556,101187908
Gm45159,7,90887072,90940052
4930590L20Rik,1,140570176,140656404
Gm45178,7,90995309,90999418
Armcx5,X,135742733,135747322
Gm45541,7,86402766,86402819
Mdh2,5,135778480,135790398
Kcnt2,1,140246158,140612067
Emc3,6,113514874,113531652
1700069B07Rik,7,121707075,121708013
Usp31,7,121642021,121707253
Bmper,9,23223076,23485200
Gm9513,9,36475638,36477186
Gm13351,2,18179029,18179442
1810059C17Rik,2,18054193,18056613
N4bp2l2,5,150608007,150666183
Olfr401,11,74113712,74122941
Gm11773,11,120831029,120834244
Ccdc57,11,120826529,120932872
Olfr402,11,74153529,74158161
Gm37777,1,140266487,140269852
Il13ra2,X,147383476,147429192
Mgat4c,10,101681487,102391469
Olfr729,14,50144731,50152910
Rsbn1,3,103914120,103966636
Gm7561,8,62546946,62547831
Gm5133,X,106306381,106309725
Gm45460,8,62616317,62634645
Olfr403,11,74186249,74198612
Gm18458,7,20734768,20735136
Gm45459,8,62646335,62855382
RP23-23B21.1,9,49954878,49956554
Gm45462,8,62749686,62761858
Prkacb,3,146729574,146812990
Vmn1r112,7,20771185,20772078
Gm8907,9,50186043,50187045
Gm42522,5,102951818,102952072
Gm27160,9,36482296,36482494
Gm44473,7,3046372,3046523
Gm43789,5,102983842,102986313
Olfr730,14,50183296,50188198
Gm14876,X,106337590,106341715
Gm3104,7,3086001,3087834
Vmn1r113,7,20787285,20788208
Nfe2l1,11,96817414,96829968
Pole3,4,62522649,62525068
Cpt2,4,107903981,107923610
Vmn1r114,7,20811221,20812186
Gm42702,3,104135785,104140001
Gm43259,3,104163924,104167200
9530097N15Rik,3,104078435,104079502
Gm17956,3,104129424,104130261
Vmn1r115,7,20844098,20844985
Olfr43,11,74205664,74211379
Chd3os,11,69340461,69342641
Gm37811,2,13009886,13012486
Scyl3,1,163929100,163955126
Plxnb1,9,109095389,109119917
Pter,2,12924041,13003455
RP23-68E4.1,9,50215079,50215715
Mapk3,7,126759601,126765819
Heatr9,11,83511736,83522175
RP23-68E4.2,9,50232523,50233182
Vmn1r116,7,20872256,20873179
Gm5547,3,105815540,105817357
Sv2b,7,75114894,75309262
Olfr731,14,50233531,50241866
RP23-68E4.4,9,50300784,50301817
C630050I24Rik,8,107119110,107119892
Gm37169,2,32487988,32492148
RP23-158J3.1,9,46666273,46674844
Rpl10-ps3,9,50344201,50344968
Gm13412,2,32525031,32527990
Gm10277,11,77785453,77787747
Tas2r106,6,131677960,131678886
Cyb5b,8,107150640,107187471
RP23-158J3.3,9,46713233,46714158
C1ql3,2,13003457,13011806
Ifna14,4,88571229,88571798
Tas2r104,6,131684836,131685744
Ifna-ps1,4,88578887,88580574
Gm37824,2,13004365,13007600
Ifna15,4,88557673,88558245
Ebna1bp2,4,118620799,118627776
Gm43084,5,81535726,81536672
Ifna9,4,88591813,88592385
Gm43594,5,81249249,81252690
Gm16054,5,81791909,81798426
Olfr732,14,50278473,50284206
Olfr404-ps1,11,74239566,74240537
Gm5615,9,36532397,36541963
Adora3,3,105870858,105908926
Gm27218,9,36537932,36538323
Il24,1,130882074,130887454
Gm7628,9,109093844,109097796
1500012K07Rik,7,75308696,75331419
4933430I17Rik,4,62525369,62547993
Tmigd3,3,105870903,105924042
Gm12850,4,107270434,107270869
Nctc1,7,142544609,142558596
Hspb11,4,107253593,107279938
BC055324,1,163945993,163994796
Slc7a9,7,35448796,35466036
B230217C12Rik,11,97840780,97844099
Megf6,4,154170730,154275713
RP23-9A12.3,9,60919223,60949373
Olfr406,11,74259808,74271625
H19,7,142575529,142578143
Olfr405-ps1,11,74255221,74266236
Fam102a,2,32535332,32569756
Guca2a,4,119637704,119639471
Rps18-ps3,8,107262793,107263248
Plet1os,9,50488795,50507823
Plet1,9,50494525,50505482
RP23-9A12.4,9,61013481,61019797
Gm45621,7,142591744,142620804
Olfr733,14,50295891,50301522
Slc4a3,1,75546266,75562172
Rapgef3os2,15,97766549,97768713
Rapgef3os1,15,97760408,97766961
Olfr407-ps1,11,74280715,74281732
Fbxo47,11,97853826,97884154
RP24-532P18.1,9,46830339,46837616
Gm8994,6,136327539,136329983
Gm45444,7,45814022,45814919
Gm15476,6,136383728,136384918
Olfr59,11,74283736,74291608
Tas2r105,6,131686532,131687495
Rapgef3,15,97744770,97767972
Cyth2,7,45806637,45814581
Fbxw7,3,84815268,84979198
Tas2r114,6,131689134,131690063
Copz2,11,96849870,96861203
Olfr734,14,50316506,50326761
Igf2os,7,142659693,142670356
E130317F20Rik,10,79851381,79854956
Plppr3,10,79860475,79874634
Igf2,7,142650766,142666816
Gm12340,11,76144258,76144719
Olfr735,14,50342612,50348872
Dpp6,5,26817203,27727505
Dancr,5,74093060,74095406
Gm45179,7,91048999,91053335
Gm42460,5,50059096,50061662
Glod4,11,76120987,76243725
Gm13132,4,154220541,154221012
Gm43416,5,74092137,74093151
4930448I18Rik,5,50151333,50156095
Dancr,5,74093077,74094337
Prlh,1,90953108,90954027
Gm43973,6,131880668,131880877
Sec24b,3,129982759,130061553
2900052N01Rik,9,46913493,46927366
Gm7205,5,50217247,50391361
Mrpl48-ps,4,88599175,88599810
RP23-442A13.3,9,36567701,36567969
Gm42459,5,50517473,50518214
Gm17689,9,36581278,36582635
Gm4962,5,50679716,50682692
Srrm3,5,135806890,135874772
Gm36814,5,50448662,50544491
Ccl5,11,83525778,83530518
Nckap5,1,125913620,126830799
Tigd4,3,84593574,84597032
Gm43016,5,50543642,50689221
Gm37240,3,84496426,85887518
Tsr2,X,151087094,151096543
Ifna12,4,88602580,88603376
Ppp1r14a,7,29289308,29293801
Gm42813,3,85397524,85428128
Gm42472,1,173052832,173053690
Glt28d2,3,85869849,85887516
Gm42475,1,173076976,173077270
Gm43974,6,131940936,131941619
4930590H14Rik,9,77357352,77357902
Prb3-ps,6,132055403,132056513
Olfr1409-ps1,1,173097997,173098248
Arfip1,3,84496093,84582625
Fgd1,X,151046150,151089521
5730403I07Rik,9,77366412,77399418
Slc35d3,10,19847916,19851459
Il20,1,130906985,130911451
Olfr1408,1,173128049,173137374
Mphosph8,14,56668248,56697430
Srrm3os,5,135843057,135844946
Gm43975,6,132069305,132069785
Gm26988,10,102460198,102461142
Gm13373,2,28315016,28324050
RP23-9A12.5,9,61049009,61055819
1700027I24Rik,9,36668856,36693189
Rassf9,10,102512222,102546560
RP23-116C19.1,9,61032212,61059116
Fam160a1,3,85660061,85817291
Parp6,9,59617284,59650285
Gm11630,11,97884594,97893811
Gm4736,6,132114576,132117662
A630095E13Rik,9,36635754,36643376
Gm43976,6,132135455,132135689
RP24-247B20.2,9,46960235,46979053
RP23-116C19.2,9,61103012,61105385
RP23-116C19.4,9,61081951,61117839
Gm43978,6,132140165,132140615
RP23-116C19.5,9,61102229,61127031
A330058E17Rik,5,74172161,74176050
AI115009,3,152666913,152681432
RP24-570C10.8,9,36672697,36676537
RP23-442A13.4,9,36635753,36692969
Gm9967,7,126768082,126776818
Ak5,3,152462815,152668360
Gm38241,3,84556890,84557787
Gm19104,3,146803163,146803841
Gdpd3,7,126766334,126775649
Gm12601,4,88612653,88614044
Olfr408-ps1,11,74298133,74299073
Guca2b,4,119656607,119658954
Gatb,3,85574119,85655622
Gm4791,9,46998741,47003860
Vmn1r239-ps,X,147452748,147453707
Gm37161,1,125919266,125921962
Gm37936,1,126070140,126071461
Olfr409-ps1,11,74317027,74317997
Gm38177,1,126323635,126324674
Gm12332,11,74322546,74323467
Gemin4,11,76210571,76217664
Olfr301,7,86403846,86414024
E330021D16Rik,6,136400317,136415569
Abca8b,11,109932190,109995845
Tlr11,14,50357914,50363663
Rnmtl1,11,76243715,76250619
RP23-116C19.3,9,61138515,61145259
Ppp1r26,2,28446800,28455508
4930407G08Rik,4,107953932,107960721
Anapc2,2,25272478,25285915
Olfr410,11,74330281,74338031
Alx1,10,103007846,103029054
Zzz3,3,152395473,152462826
Pds5b,5,150673739,150810690
Gm17028,10,103029479,103030344
Olfr411,11,74345129,74352650
Fam57a,11,76179671,76214827
Lama2,10,26980036,27619758
Gm38313,3,85195182,85196447
Gm8813,3,84552858,84553452
Gm38041,3,85152036,85152696
Hspb1,5,135887919,135889563
Gm15535,3,85556046,85573945
Tmem154,3,84666192,84704575
Prb1,6,132206795,132210521
Gm11633,11,97968792,97969235
Prpmp5,6,132311590,132314757
Epc2,2,49451486,49551948
Plxdc1,11,97923238,97986444
Gm37726,3,84873891,84877776
RP23-94M23.4,3,85435187,85466128
Gm42812,3,85544316,85553389
Gm44687,6,132228839,132229073
Gm43979,6,132233522,132233996
Bmx,X,164192842,164258193
1700036G14Rik,3,85317519,85332030
Clock,5,76209868,76304792
RP23-131H17.1,9,23776492,23777073
RP23-312A24.1,9,23876783,23877160
Gm12529,4,59532747,59533014
Lrriq1,10,103063198,103236322
Ccl9,11,83572919,83578636
Vps53,11,76046226,76179647
Nfat5,8,107293470,107379517
Ptbp3,4,59471868,59549364
Arpc2,1,74236084,74268209
Rasl11b,5,74195286,74199481
Gm42533,5,135896330,135896486
Rab17,1,90958133,90969661
RP23-304K3.2,9,47085947,47227095
Ywhag,5,135908409,135934616
Gm36962,10,27613568,27615328
Olfr300-ps1,7,86435913,86445258
4930579H20Rik,10,27389866,27397225
Gm11697,11,109936316,109938135
RP23-122B15.1,9,61206679,61212916
Gm31816,9,47242326,47368649
RP23-122B15.2,9,61259227,61293809
Olfr299,7,86459921,86469557
Gm10161,7,75366055,75366258
Gm44962,7,75420857,75421135
Gm43014,5,50838317,50840759
1700007K13Rik,2,28462001,28466332
Olfr298,7,86486322,86492484
Gm10655,9,61370797,61372193
Gm16057,5,27005940,27007621
RP23-312A24.2,9,23903900,23905018
Ypel3,7,126776955,126780514
Speer4b,5,27495639,27501438
6030468B19Rik,11,117797660,117807301
C87499,4,88627320,88634411
Olfr297,7,86519968,86528497
Gm43776,5,27195955,27198868
Ube2n-ps1,5,76232612,76233070
Gm16056,5,26859967,26860101
Gm43658,5,76297600,76301775
Gm43502,5,27218185,27220780
Gm29784,5,26828100,26828505
Slc25a12,2,71271063,71367749
Gm17919,7,86541965,86542661
Gm16058,5,27552551,27553875
Olfr736,14,50381163,50394192
Vmn1r117,7,20883198,20884121
Arhgap22,14,33214026,33369934
Hivep3,4,119733784,120138045
Ccl6,11,83587882,83593087
Rpl36a-ps3,6,136488807,136489127
Gm43015,5,50921342,50921906
Gm6728,6,136486122,136487186
Gm40319,5,51052381,51052861
Olfr296-ps1,7,86559478,86562678
Gm26923,10,103581398,103582393
Gm6325,X,106360456,106384071
Gm44131,6,136488319,136488712
Gm28199,1,90974459,90975260
E230016K23Rik,11,83582056,83623693
Gm6763,10,104151497,104153965
Ifna13,4,88643641,88644459
Gm34240,3,63439251,63457897
Gm21293,10,104142987,104153674
Gm13281,4,88648738,88649304
Prodh2,7,30493622,30513402
Slc1a7,4,107968332,108013532
Olfr295,7,86583862,86591128
Gm15512,14,33365951,33370143
Gm44990,6,132333590,132333806
Ifna16,4,88675915,88676924
RP23-312A24.3,9,23917102,23940342
Gm44727,6,132338858,132339308
Gm18702,5,103273909,103274496
RP24-121D5.2,9,47473049,47474918
4930429D17Rik,5,103230375,103299029
Olfr294,7,86615636,86616643
Ifna2,4,88682881,88683912
Gm42619,5,103343972,103345107
Gm8882,6,132361041,132364134
Gm42618,5,103346594,103348299
Gm18198,7,3097437,3098987
RP24-121D5.1,9,47481628,47486506
Tmem210,2,25288145,25289189
Gm6727,7,3102327,3103844
L3mbtl4,17,68273797,68777961
Arl5c,11,97989578,97996181
Gm43807,5,150752093,150753873
Gm13641,2,71319783,71320255
Arhgef16,4,154278486,154301676
Ifnab,4,88690302,88691359
I830077J02Rik,3,105924358,105932664
Syngr2,11,117809668,117814283
Olfr1407-ps1,1,173149171,173150371
5430427N15Rik,5,103354306,103356698
Olfr412,11,74362069,74366218
Gm15974,17,68371280,68371810
Gm9396,3,130068412,130068978
Gm42663,3,130080779,130081129
Gm19863,1,37694447,37696664
Vmn1r118,7,20911427,20912347
4930556I23Rik,1,37614259,37615372
Olfr1406,1,173181853,173190640
Olfr738,14,50407568,50415438
2010300C02Rik,1,37611677,37720085
Pir,X,164269371,164373011
