Gene name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
MDM1,12,68272443,68332381
ZNF37BP,10,42513510,42552822
KIR2DL1,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54813971,54828213
RP11-77I22.4,12,30861921,30862179
GU182339.6,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54799171,54811528
RP11-640A1.3,18,62372894,62378130
AMD1P2,X,155828585,155829576
PPP1R2,3,195514425,195543386
GU182339.12,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54888671,54903107
CLEC2B,12,9852984,9870136
RFC5P1,9,77072100,77073295
RP11-361M4.1,9,84604111,84604425
KIR2DS1,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54905478,54919948
FCGR2B,1,161663147,161678654
KIR2DL5B,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54770973,54780252
RP11-589M4.2,14,52798904,52799061
RP11-589M4.3,14,52792875,52820034
RPL32P9,3,150150538,150150944
KIR2DS3,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54782354,54796789
NYNRIN,14,24398786,24419288
IVL,1,152908545,152911886
ANKRD36BP2,2,88765807,88806612
AL136419.6,14,24209646,24215987
RP11-290C10.1,12,9867027,9869808
AK2,1,33007940,33080996
PPP2R3B,CHR_HSCHRX_2_CTG3,333240,385935
ANKUB1,3,149761100,149968385
ZNF407,18,74597870,75065671
BSPH1,19,47968046,47992170
RP11-5K16.3,4,140600401,140600575
RP11-805L22.1,17,31709568,31709859
LVRN,5,115962454,116027619
CACNG1,17,67044590,67056797
PFN2,3,149964904,150050788
MTX1P1,1,155230975,155234325
CTD-2247C11.2,5,4967764,4970425
RP11-751K21.1,7,135650972,135651416
LSMEM2,3,50279027,50288114
RP11-486G15.1,1,84085741,84086233
RP11-805L22.2,17,31759795,31761385
AC093107.7,7,135660039,135660647
VPS45,1,150067293,150145327
RP11-805L22.3,17,31762440,31769048
RP3-495O10.1,6,163363210,163363463
RP11-244F12.2,15,63070025,63071911
CTC-542B22.1,17,31830731,31831750
AC012361.1,2,20859771,20861661
CAHM,6,163413065,163413960
RP11-244F12.3,15,63046034,63049387
HYAL3,3,50292831,50299468
RP11-102N12.2,4,140712168,140716081
RP11-116D2.1,2,20999313,21000917
MTPAP,10,30309801,30374448
TNRC18P1,4,140641840,140645489
CTBP2P1,Y,56855244,56855488
TBC1D9,4,140620765,140756120
PRKACB,1,84078062,84238498
COPRS,17,31851864,31859337
NCAPGP2,15,30005205,30006430
RP11-143J24.1,15,30005443,30045848
ZNF491,19,11797667,11809622
CTD-2022H16.3,15,30044455,30045296
AC015849.12,CHR_HSCHR17_7_CTG4,35808489,35808897
FBN3,19,8065402,8149846
CTC-499B15.7,19,11796084,11798598
AP000487.5,11,70372246,70398488
AC091633.3,3,195544048,195550581
RP5-898I4.1,22,50092745,50096437
RP11-644N4.1,7,135704537,135704841
RP11-261N11.8,20,63359988,63371177
AP000487.4,11,70358198,70358677
CTA-797E19.2,11,70324871,70327209
SLC13A4,7,135681237,135729258
COL5A3,19,9959561,10010471
PLPPR4,1,99263953,99309590
ALG6,1,63367590,63438562
CTTN,11,70398404,70436584
SEH1L,18,12947133,12987536
LRIT2,10,84220495,84225589
GOLGA2P6,10,30364410,30374386
RP11-679B19.2,16,79212711,79229453
CTB-39G8.3,CHR_HSCHR17_2_CTG5,45396932,45397477
OXCT2,1,39769523,39771348
SCGB1D5P,4,165517255,165517501
BMP8B,1,39757182,39788861
DNM1P17,10,30353706,30357365
KRT75,12,52424070,52434525
RP1-117O3.2,1,32987075,33032469
RP4-803A2.2,1,32986952,32988233
RAB40C,16,589357,629272
CTD-2024I7.13,5,141558311,141565263
CTAGE11P,13,75237944,75240296
LINC01078,13,75250480,75252012
CT45A1,X,135713453,135723539
SNAI1P1,2,209808804,209809580
KIR3DL3,CHR_HSCHR19LRC_PGF1_CTG3_1,54654506,54666521
RP11-25K21.1,1,161671978,161674824
CNFN,19,42387019,42390287
LINC01936,2,30346659,30352431
DIAPH1,5,141515016,141619055
AC104135.2,2,74919555,74924846
LINC01291,2,74918148,74938418
UNC80,2,209771993,209999300
RP11-1020M18.10,12,52407580,52428494
RP11-182E7.1,2,30408170,30408346
KRT90P,12,52413960,52421876
LINC01293,2,74940258,74942670
AK3P3,7,23129178,23129841
SPDYE11,7,73048055,73057911
RNF6P1,21,39373763,39377066
PPIE,1,39692182,39763914
RP11-467I17.1,16,79505603,79516293
CAMSAP1,9,135808487,135907228
ZNF135,19,58059239,58086310
NCBP2-AS2,3,196942623,196943540
KIAA1324L,7,86876906,87059699
FAM180A,7,135728348,135748846
CH17-264B6.4,7,73037371,73049246
CRYGA,2,208160740,208163576
IDSP1,X,149525001,149526043
RP11-387H17.4,17,39927742,39939601
LINC00893,X,149527591,149540959
MGAT2P1,X,135730733,135732197
MRPS34,16,1771890,1773155
MAF,16,79585843,79600714
NOL8P1,4,165547532,165551060
CH17-264B6.3,7,73065529,73077353
SPDYE9P,7,73076165,73086038
C7orf73,7,135662496,135693418
MGAT2P2,X,135751119,135752583
RPL15P20,CHR_HSCHR16_1_CTG1,16016803,16017400
LAMTOR4,7,100148907,100155944
RP11-242O24.3,1,29144494,29146994
CT45A3,X,135759846,135768191
PIGZ,3,196946343,196969060
LRRC3C,17,39941474,39944747
RP11-375B1.1,5,176707356,176726243
C2orf80,2,208165343,208190073
RP11-375B1.2,5,176726942,176739458
LRIT1,10,84231593,84241461
LINC01574,5,176743205,176743871
RP11-511B7.1,4,165664350,165665671
CTD-2553C6.1,19,9995997,9997163
BAG4,8,38176533,38213301
RP11-70D24.3,16,79603572,79604177
PRSS56,2,232520463,232525716
LRRC14B,5,191511,195353
KIR2DL4,CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1,54803565,54814279
RP5-937E21.8,X,149548210,149549932
AC093911.1,2,179273831,179285707
RP11-438L7.1,12,8631545,8632259
POLE4,2,74958492,74970128
ZSCAN18,19,58083838,58118427
RP11-395N21.2,9,35360540,35362054
OR4A43P,11,48526064,48526971
CXorf40A,X,149540355,149550510
TFAP2B,6,50818723,50847613
OR4A45P,11,48579436,48580336
PSMA2P1,11,87329407,87330052
SIGLEC16,19,49969673,49975814
PCGF2,CHR_HSCHR17_7_CTG4,38534684,38550604
CHMP4C,8,81732434,81759515
SYNJ2-IT1,6,158001107,158002383
MAP3K11,11,65597755,65615382
ADAMTS15,11,130448974,130476641
GDI1,X,154436913,154443467
RP11-121M22.1,11,130314993,130403657
FOXI1,5,170105897,170109725
CNIH2,11,66278190,66285301
RP5-1096D14.6,12,2004666,2011392
RIDA,8,98102344,98117241
RP11-927P21.4,17,64778842,64778937
SENCR,11,128691672,128696023
RP11-480C22.1,11,127271029,127337033
RP11-822P1.1,11,127657568,127657877
RP11-688I9.2,11,126992452,126995458
RP11-385M4.2,1,209173014,209173375
LINC01717,1,208728688,208733184
GNG4,1,235547687,235650754
LINC01735,1,208607100,208612192
BZW1,2,200810594,200827338
RP11-401L13.7,7,103161947,103162660
METAP2,12,95473520,95515839
LINC01603,8,69425035,69448244
RP11-666F17.1,12,26623369,26649479
PUS3,11,125893485,125903221
LMOD2,7,123655807,123664290
SPDYE13P,7,75281267,75287118
RP11-687M24.8,11,125258626,125266798
TOR3A,1,179081377,179098023
ST13P3,12,106015897,106017006
OR8G1,11,124249676,124250611
RP4-545C24.5,7,144434826,144435314
CTD-2319I12.3,17,60113793,60120687
SLC22A1,6,160121789,160158718
TESMIN,11,68707440,68751564
RP4-604G5.3,7,99992397,99993050
CTD-2337I7.1,11,79092848,79098003
SEC14L2,22,30396857,30425317
RP11-213G6.2,8,23726331,23743042
RP11-348N5.9,10,110907483,110908182
GDPD3,16,30104810,30113856
RP11-455F5.6,16,30110895,30111955
PLEKHA3P1,19,41521043,41521989
RP11-37B2.1,8,89609409,89757727
RP11-314A20.2,17,4704230,4705529
RP11-82O18.2,16,14695567,14707055
RP11-443B7.3,1,234979647,234980804
FLJ40288,7,132648794,132728769
RP11-554D14.1,12,107910403,107912620
RP11-554D14.3,12,107899638,107899815
COX5BP7,22,39120293,39120566
NDUFB9P2,7,131753746,131754252
RP11-618P17.4,19,34396315,34409364
RP11-275I14.2,1,226188870,226189221
RP11-380I10.4,8,28250063,28339255
RP4-683L5.1,11,35419057,35421002
AHCYP5,2,195582794,195584031
RP11-691N7.6,11,57742163,57793243
TGFB2,1,218346235,218444619
NUP58P1,4,125681177,125683668
CTD-2544H17.1,5,122321291,122323358
OR5K1,3,98469480,98470576
GH1,17,63917200,63918838
ASAH1,8,18055992,18084998
OR5H6,3,98264244,98265356
RP11-1055B8.9,17,81345476,81345966
SETP3,17,58476138,58476950
CAMK4,5,111223653,111494886
CTD-2547L16.3,8,18088569,18089687
RPAP2,1,92298965,92402056
PDCL2P1,X,23198339,23198690
GUCY1A3,4,155666711,155732349
PLAGL2,20,32192503,32207791
CTA-125H2.1,22,25959074,25983526
ST7-AS2,7,117072072,117146480
RPL29P33,19,34296277,34296592
CTD-3233P19.7,19,21225098,21245241
CLN3,16,28474111,28495575
CTD-2561J22.5,19,21444241,21463908
RP11-678G14.3,19,21570822,21587322
RPL7AP10,19,21149648,21150438
FOXR1,11,118971707,118981291
BNIP3P26,19,21521343,21521896
RP11-1112G13.3,17,75060491,75060620
ST3GAL3,1,43705824,43931165
KCTD2,17,75032575,75065889
NDFIP1P1,12,18358443,18358967
TEPSIN,17,81228277,81239091
MTCO3P9,4,155457180,155457960
HLA-DQA2,CHR_HSCHR6_MHC_SSTO_CTG1,32832954,32838824
AC009404.2,2,117833937,117841658
OR2R1P,7,143488489,143489402
RPS6KA4,11,64359148,64372215
KB-1410C5.2,8,101261541,101262903
CTC-546K23.2,5,121363002,121365314
LRRIQ4,3,169821922,169837775
RP11-861A13.3,3,108036718,108038445
KB-1460A1.3,8,101139665,101140929
RP11-551G24.2,1,247042791,247044021
NDUFA3P4,15,90385814,90386063
ERGIC1,5,172834275,172952685
GOLGA2P1,8,86657388,86660293
PCDHA3,5,140801028,141012344
XXbac-BPG248L24.10,CHR_HSCHR6_MHC_QBL_CTG1,31297920,31298654
AC005609.20,5,140867513,140867959
AC005609.16,5,140788457,140822193
AC018766.6,19,49852887,49854967
RP3-416J7.4,6,181466,205484
RP11-618I10.3,4,69387580,69388307
RP11-118M12.1,2,240672530,240672812
MESDC2,15,80946289,80989878
RP11-941H19.1,8,80265528,80266155
EPS8L1,19,55072020,55087923
RPS26P6,8,100895771,100896118
PRAMEF8,1,13281035,13285174
OR6C65,12,55400430,55401505
RP11-21L23.4,11,76759916,76768223
AC105760.2,2,237059434,237085817
C5orf60,5,179641544,179645046
RP11-697N18.2,8,47592147,47592609
PTPRF,1,43525187,43623666
SASH3,X,129779979,129795201
CD44,11,35138870,35232402
RP11-360I2.1,5,21569755,21570045
MLLT6,17,38705542,38729803
SLC25A46,5,110738136,110765161
RP11-44N11.1,8,122807746,122816517
TNFRSF14,CHR_HSCHR1_1_CTG3,2555639,2565622
EIF3A,10,119033670,119080823
CTD-3035K23.7,17,62626437,62627590
CTD-3035K23.6,17,62626031,62626453
CTC-535M15.2,5,165349030,165778689
RP5-1099E6.3,1,216194051,216204366
AP000936.4,11,117098987,117108170
SKP1P3,9,39485379,39485865
OR52M2P,11,4514966,4515924
CTB-58E17.2,17,38601049,38602701
RP11-52E20.1,X,21131496,21163726
SLC25A6P6,6,70663502,70664279
AP000462.3,11,115333577,115340262
RPL32P14,5,19041009,19041386
RTN4RL2,11,57460549,57477534
RP11-124N3.2,5,19035197,19038799
EGR2,10,62811996,62919900
FOLR3,11,72114869,72139892
RP11-503G7.1,12,132457160,132460024
RBM7,11,114400030,114414203
RP13-895J2.11,12,132362810,132363348
STRAP,12,15882391,15903478
RP11-212D19.4,11,114400682,114443932
RSRC2,12,122503458,122527000
CTD-2530H12.1,11,75758455,75768647
PHTF2,7,77798792,77957503
RP11-492M19.3,1,26640377,26640614
MOGAT2,11,75717819,75732958
REG4,1,119794018,119811660
RP11-343P9.1,8,135455865,135456952
PEPD,19,33386950,33521794
GLYCAM1,12,54608187,54610462
CLINT1,5,157785743,157859175
PTPMT1,11,47565430,47573461
RP11-278C7.4,12,32725248,32725660
RBBP5,1,205086142,205122015
AC104653.1,2,113831049,113843356
RP11-265D20.1,X,43000174,43000396
OR4F28P,15,101875964,101876901
RP11-642E20.5,4,68282461,68285959
RP11-58A11.2,1,6547905,6548619
ZBTB1,14,64503712,64533690
CTD-3247H4.2,15,48528980,48529728
TMEM81,1,205083129,205084460
HSPA2,14,64535905,64546173
AC073043.1,2,199867396,199911159
RP11-122C21.1,8,91542924,91907619
SOCS7,17,38352228,38405593
LMF2,22,50502949,50507691
RP11-483H20.4,9,129640476,129641282
MPHOSPH6,16,82147798,82170226
AC073626.2,7,114414244,114419875
RP11-1094M14.12,17,35553205,35554767
C1R,12,7080209,7092607
RP11-1094M14.10,17,35540039,35540797
C1orf61,1,156404250,156430701
RP11-219G17.8,17,78250346,78250932
RP11-219B4.6,8,85246295,85249848
MARK3,14,103385392,103503831
RP11-775B15.3,8,119480279,119480775
RP1-13D10.2,6,16160926,16161411
RP11-96G10.1,5,162424378,162427345
RP11-215P8.4,5,134429051,134460615
RP11-304C16.3,6,96672129,96672969
APCDD1L-AS1,20,58515379,58619888
RP11-54A4.2,1,150548562,150557724
OR2B3,CHR_HSCHR6_MHC_MANN_CTG1,29086272,29087278
UBE2V1P14,2,142543418,142543975
TMEM59,1,54026681,54053504
TAOK3,12,118149801,118372945
RP11-83B20.6,12,124561869,124562283
COX5BP1,4,81919995,81920387
RPS4XP1,12,100009052,100009838
AC069157.1,2,53486144,53486280
SLC25A26,3,66133610,66388116
CTD-3187F8.6,19,51155288,51155624
MECOM,3,169083499,169663618
RP11-1148L6.5,X,48579774,48581157
RP11-142C4.6,11,58933643,59058659
MED30,8,117520713,117540262
MAFB,20,40685848,40689240
PCOLCE-AS1,7,100589402,100604206
COIL,17,56938187,56961054
RP5-1107A17.2,17,56951664,56952404
UBL5P4,16,11968508,11968743
ARHGEF7-AS1,13,111144305,111144733
CALCA,11,14966668,14972354
MIPEPP1,7,112735166,112738693
TMPOP1,CHR_HSCHR6_MHC_MANN_CTG1,30511094,30512636
NUP37,12,102073103,102120124
EMX2OS,10,117473215,117545068
DPCR1,CHR_HSCHR6_MHC_QBL_CTG1,30930561,30943780
UBP1,3,33388336,33441371
RP11-527D7.1,1,241424292,241433492
TBC1D12,10,94402504,94535930
MOG,CHR_HSCHR6_MHC_SSTO_CTG1,29657481,29672869
AARS2,6,44299654,44313326
AC009892.10,19,54635722,54638892
RP5-827O9.1,1,90510910,90533472
PDE3B,11,14643723,14872044
SDCBP,8,58552924,58582860
RP11-446H18.5,3,107272611,107421304
DUBR,3,107240692,107326964
CCDC54,3,107377194,107378637
TNFRSF6B,20,63696668,63698684
TAAR9,6,132538290,132539336
RPL13AP2,14,47200575,47201104
RP5-988G15.1,6,131780721,131781312
AC104777.3,2,150566134,150568080
LINC00605,14,103187221,103189028
LINC01271,20,50310711,50321342
LINC01270,20,50292720,50314922
TRPC3,4,121879027,121951754
YBEY,21,46286337,46297751
SLX1B-SULT1A4,16,29455105,29464963
RP11-472N19.3,14,92253493,92263656
NBPF3,1,21440128,21485005
LAT2,7,74199652,74229834
RP11-345J4.5,16,29443230,29454651
LINC01742,20,58003904,58004648
RP11-204C16.4,X,41675760,41676494
MRFAP1,4,6640091,6642745
DNAJC19P9,14,45290036,45290386
SKIV2L,CHR_HSCHR6_MHC_MCF_CTG1,32035523,32046194
FKBPL,CHR_HSCHR6_MHC_COX_CTG1,32077157,32078741
LRP1B,2,140231423,142131701
SNHG8,4,118278709,118279823
IPPK,9,92613184,92670265
AC006538.8,19,2700689,2701266
MYRFL,12,69825304,69959097
RP11-295G12.1,12,73760689,73798727
CTC-265F19.1,19,2641838,2643853
OR5M3,11,56469574,56470497
RP11-314C16.1,6,8784178,8785445
AC025263.3,12,69801669,69855363
CTD-2231E14.8,19,16123661,16139892
RP11-302M6.5,1,89939601,89940147
LINC01481,12,70219132,70221862
RP11-293F5.8,1,21411460,21413293
RPL7P4,CHR_HSCHR6_MHC_MCF_CTG1,30775289,30776018
COX4I2,20,31637888,31645006
RP11-276H19.2,9,87008455,87042126
SERPINB2,18,63871692,63903890
FAM8A2P,11,56331347,56332488
OR8I1P,11,56296541,56297471
SLC5A9,1,48222685,48248644
UBE2V2P2,17,78066258,78066761
LTF,3,46435645,46485234
GXYLT1P4,9,66022661,66027719
RP1-140C12.2,6,170414139,170419325
TSHZ3,19,31274945,31349547
MIS18BP1,14,45203190,45253540
SDF2,17,28648356,28662189
RP11-495K9.8,12,131645918,131646444
LLNLR-263F3.1,19,31100304,31147981
LINC00677,14,103120847,103123007
PROC,2,127418427,127429246
CABP4,11,67452406,67460313
OXCT1,5,41730065,41870519
OXCT1-AS1,5,41870030,41872241
RP11-591L14.1,15,79751689,79752049
NEU1,CHR_HSCHR6_MHC_MCF_CTG1,31934136,31939383
HMOX1,22,35380361,35394214
CTC-565M22.1,19,30665274,30668647
RP11-269C4.2,14,29940745,29980212
AC092669.6,2,66327349,66328984
WASH2P,2,113588550,113599043
RP11-243M5.5,12,130956384,130958031
EPHA5,4,65319563,65670495
FKBP9P1,7,55681074,55713252
RP11-243M5.1,12,130977562,130978768
FUOM,10,133355154,133358035
RP11-76C10.4,12,131022769,131024741
CCDC28A,6,138773509,138793319
RP11-76C10.6,12,130988312,130990028
RRN3P2,16,29074976,29116718
RP11-243M5.3,12,130980667,130981367
CTD-2515H24.4,15,57527187,57529009
RP11-76C10.3,12,131025561,131028060
CTD-2515H24.3,15,57477484,57478329
RDX,11,110174880,110296722
RP11-243M5.2,12,130976786,130978812
SMIM4,3,52534013,52579237
AC092620.3,2,138604510,138613167
RP11-266K22.2,1,31333067,31346799
NXPH2,2,138670772,138780348
RP11-136I13.2,4,10478524,10478923
CDKL5,X,18425583,18653629
ZCCHC17,1,31296982,31364953
SHTN1,10,116881482,117126586
AC004692.4,7,43239066,43249268
YY1P2,2,138897151,138898098
AC011738.4,7,43508728,43522542
RP11-426C22.5,16,29116127,29217860
AC005537.2,7,42954135,43113931
RP11-121C2.3,4,47831385,47896709
OR2U2P,CHR_HSCHR6_MHC_SSTO_CTG1,29269328,29270287
RP11-121C2.2,4,47840122,47844339
RP11-182J1.5,15,84611689,84614969
CTB-134H23.3,16,29053732,29108108
EGLN1P1,15,84633874,84634635
RP11-182J1.3,15,84622015,84623237
NIPAL1,4,47914142,48040173
RP11-426C22.1,16,29204633,29205855
RP11-300E4.2,8,75026428,75029460
AHCYP4,2,138901433,138902747
RP11-182J1.18,15,84597809,84633987
RP11-426C22.4,16,29217170,29220031
RP11-29H23.7,1,155566050,155566306
AC108056.1,4,117834401,117869948
PRPS1P2,9,125150653,125151589
SZRD1,1,16352575,16398145
OR2B4P,CHR_HSCHR6_MHC_SSTO_CTG1,29291595,29292537
PPATP1,3,87051192,87052738
PPP6C,9,125146573,125189939
NUTF2P3,9,77580245,77580628
LINC00506,3,87089129,87157069
TAS2R3,7,141764097,141765197
GNA14-AS1,9,77456295,77526697
GNA14,9,77423079,77648307
TMEM256,17,7402975,7404137
KCNIP2,10,101825974,101843920
SSBP1,7,141738321,141787922
CCDC40,17,80036632,80100613
RP11-739N20.2,1,204377850,204435846
HNF4G,8,75407914,75566843
XX-C00717C00720L.1,22,50316035,50317025
DENND6B,22,50309030,50327060
TMEM256-PLSCR3,17,7389734,7404097
PIK3C2B,1,204422628,204494724
RP11-1152H14.1,2,157917712,157918371
CHMP2B,3,87227271,87255548
AC005539.2,2,157961410,157962888
PTP4A1P1,2,158065545,158066059
RP11-13K12.6,17,77571418,77572516
UPP2,2,157876702,158136154
RPSAP52,12,65758020,65826997
LINC01987,17,77722872,77728559
RP1-230G1.7,X,47605233,47623509
CNOT9,2,218568580,218597080
WEE2-AS1,7,141704338,141738346
SYN1,X,47571898,47619943
RP11-697G4.4,6,108551018,108551207
LINC01973,17,77879027,77884087
RPL5P27,10,116749905,116751261
TAS2R4,7,141778442,141780819
CTD-3220F14.3,19,37314868,37315620
ENO4,10,116849512,116911788
TAS2R6P,7,141787815,141788640
WEE2,7,141708353,141731271
FOXO3,6,108559835,108684774
HKR1,19,37312837,37369365
LILRA4,CHR_HSCHR19LRC_PGF2_CTG3_1,54316049,54346292
RP11-277J6.3,17,73662568,73663848
RP4-718J7.4,20,57599695,57601200
FOXD4L1,2,113498665,113501155
RP11-546J1.1,2,157877683,157878565
UPP2-IT1,2,158127957,158133988
RP3-324O17.8,20,31580890,31581214
LINC01961,2,113512463,113515485
RP11-203H2.2,6,8341937,8343021
SUMO2P8,6,108618000,108618285
MRPS5,2,95087207,95149434
RP11-430L17.1,1,16369150,16369530
XX-C283C717.1,22,50314631,50316008
C10orf82,10,116663696,116670264
RP11-203H2.1,6,8329655,8342455
LINC00469,17,73750330,73828520
RP11-800A18.4,18,79340258,79343972
PGM5P4,2,113541937,113563298
ID1,20,31605283,31606515
RP11-800A18.3,18,79352458,79354567
SPATA21,1,16387117,16437424
CTD-2286N8.2,18,79117207,79117920
PGM5P4-AS1,2,113527568,113542672
RP11-849I19.2,18,79085134,79086435
RP11-1136J12.1,18,79253577,79254856
LINC02092,17,73786802,73800793
CTD-2286N8.1,18,79144752,79146918
SYNRG,CHR_HSCHR17_7_CTG4,37519433,37614077
ESYT2,7,158730995,158830253
CTD-2532D12.4,17,73737854,73756557
RP11-701P16.2,4,184813619,184821300
CDX1,5,150166795,150184558
LILRA5,CHR_HSCHR19LRC_PGF2_CTG3_1,54314236,54320273
RP11-486I11.2,16,11797468,11798275
HSPA12A,10,116671192,116849741
RP11-635O16.1,X,153276841,153277803
ATP9B,18,79069285,79378283
CTD-2532D12.5,17,73831572,73836019
LL0XNC01-16G2.1,X,153317681,153321822
RNF185,22,31160183,31207019
BCAR4,16,11819829,11828845
VASH2,1,212950520,212992037
PLCXD3,5,41306954,41510628
ZNF275,X,153334155,153360110
TPBGL,11,75240905,75243697
FAM138B,2,113577382,113578852
ZDHHC20P3,11,75228322,75228657
RP11-227B21.2,12,117453012,117456986
CFP,X,47623172,47630305
LL0XNC01-37G1.2,X,153355733,153355956
CTD-2562J17.4,11,75208054,75241173
RP11-498B4.5,10,116670103,116672739
KSR2,12,117453012,117968983
DAP3P1,1,155586644,155602197
TNF,CHR_HSCHR6_MHC_DBB_CTG1,31557707,31560476
RP11-5G18.2,10,117023674,117023851
INS,11,2159779,2161341
RP11-29H23.6,1,155590601,155591262
RP11-734K23.9,2,97281904,97291780
RP11-539I5.1,10,116828761,116850205
CTD-2611O12.6,19,55707550,55707855
EPN1,19,55675226,55709858
CHN1,2,174799363,175005369
GS1-345D13.1,7,93914987,93915108
HRC,19,49151198,49155424
AC159540.3,2,97301729,97304151
FAM90A12P,8,8027077,8032305
IGKV1OR2-9,2,97322137,97322423
FOXD4L4,9,65736555,65738784
NRM,CHR_HSCHR6_MHC_MCF_CTG1,30766531,30769904
RNF185-AS1,22,31205264,31205616
C1orf210,1,43281883,43285617
ZNF514,2,95147330,95165413
ADAM33,20,3667965,3682246
SLC35B2,6,44254096,44257890
POU1F1,3,87259404,87276587
SIGIRR,11,405716,417455
RP11-465L8.1,12,117889454,117891008
RP11-739N20.3,1,204394541,204394774
IGKV2OR2-10,2,97331533,97331843
RP11-706J10.2,8,76403998,76405091
PPP1R15B,1,204403387,204411791
LINC00222,6,108751654,108769942
LTB,CHR_HSCHR6_MHC_DBB_CTG1,31562695,31564662
IGKV2OR2-7D,2,97335671,97335974
ANKDD1A,15,64911902,64958700
CTD-3220F14.2,19,37337236,37337743
MRPL9P1,8,76603240,76603852
ARAF,X,47561100,47571920
RP11-449G16.1,2,39323328,39323804
IGKV3OR2-5,2,97348899,97349179
ZFHX4-AS1,8,76491200,76683278
TMEM178A,2,39664982,39717963
IGKV1OR2-6,2,97355059,97355335
IGKV2OR2-7,2,97372532,97372835
OR14J1,CHR_HSCHR6_MHC_SSTO_CTG1,29307588,29308553
RP11-347E10.1,11,110355130,110406400
TTC9C,11,62728069,62740293
IGKV2OR2-8,2,97376674,97376973
U82695.5,X,153395640,153401420
AC062021.1,2,139366165,139379147
RP11-446E9.1,8,56050038,56051207
RP11-807H7.2,4,65702202,65705553
DDX6P1,CHR_HSCHR6_MHC_SSTO_CTG1,29330530,29331965
IGKV1OR2-11,2,97386082,97386368
ZFHX4,8,76681219,76867285
FDX1,11,110429883,110464881
RP11-51P8.1,4,65858761,65860204
AC016710.1,2,139469775,139477747
IQCD,12,113195441,113221094
IGF2-AS,11,2140501,2148666
ERP27,12,14914035,14939082
IGKV1OR-3,9,65770955,65771434
AC010525.4,19,55694118,55694558
ARRB1,11,75264182,75351705
AC007246.3,2,39436637,39665343
AC010525.5,19,55705978,55706172
RP11-460E7.9,9,65798726,65799124
NLRP9,19,55708432,55738402
RP11-460E7.8,9,65816932,65817472
AC132217.4,11,2129121,2129964
PTENP1-AS,9,33677268,33688011
PTENP1,9,33673504,33677499
CYCSP5,1,244598391,244598687
BMS1P13,9,65828120,65831696
RP11-545P7.9,12,113249466,113250042
C1orf101,1,244454377,244641177
NPAP1P3,10,87376896,87378481
IGF2,11,2129112,2141238
CLCP2,13,114306646,114307066
ZFP92,X,153418322,153426481
RP3-423B22.5,1,37556247,37556499
FA2H,16,74712955,74774831
RP11-1221G12.2,9,65865190,65877274
RP11-493E12.2,2,61199979,61200769
AC016894.1,2,61416887,61417197
KLRG2,7,139452690,139483712
CTSLP1,10,87386685,87390203
FAAP24,19,32972209,32978222
PMM1,22,41576894,41589890
TIMP1,X,47582313,47586789
RP11-546M21.6,17,44115912,44120595
CHAMP1,13,114314513,114327328
